Unidade da Federação,2007/Ago,2007/Set,2007/Out,2007/Nov,2007/Dez,2008/Jan,2008/Fev,2008/Mar,2008/Abr,2008/Mai,2008/Jun,2008/Jul,2008/Ago,2008/Set,2008/Out,2008/Nov,2008/Dez,2009/Jan,2009/Fev,2009/Mar,2009/Abr,2009/Mai,2009/Jun,2009/Jul,2009/Ago,2009/Set,2009/Out,2009/Nov,2009/Dez,2010/Jan,2010/Fev,2010/Mar,2010/Abr,2010/Mai,2010/Jun,2010/Jul,2010/Ago,2010/Set,2010/Out,2010/Nov,2010/Dez,2011/Jan,2011/Fev,2011/Mar,2011/Abr,2011/Mai,2011/Jun,2011/Jul,2011/Ago,2011/Set,2011/Out,2011/Nov,2011/Dez,2012/Jan,2012/Fev,2012/Mar,2012/Abr,2012/Mai,2012/Jun,2012/Jul,2012/Ago,2012/Set,2012/Out,2012/Nov,2012/Dez,2013/Jan,2013/Fev,2013/Mar,2013/Abr,2013/Mai,2013/Jun,2013/Jul,2013/Ago,2013/Set,2013/Out,2013/Nov,2013/Dez,2014/Jan,2014/Fev,2014/Mar,2014/Abr,2014/Mai,2014/Jun,2014/Jul,2014/Ago,2014/Set,2014/Out,2014/Nov,2014/Dez,2015/Jan,2015/Fev,2015/Mar,2015/Abr,2015/Mai,2015/Jun,2015/Jul,2015/Ago,2015/Set,2015/Out,2015/Nov,2015/Dez,2016/Jan,2016/Fev,2016/Mar,2016/Abr,2016/Mai,2016/Jun,2016/Jul,2016/Ago,2016/Set,2016/Out,2016/Nov,2016/Dez,2017/Jan,2017/Fev,2017/Mar,2017/Abr,2017/Mai,2017/Jun,2017/Jul,2017/Ago,2017/Set,2017/Out,2017/Nov,2017/Dez,2018/Jan,2018/Fev,2018/Mar,2018/Abr,2018/Mai,2018/Jun,2018/Jul,2018/Ago,2018/Set,2018/Out,2018/Nov,2018/Dez,2019/Jan,2019/Fev,2019/Mar,2019/Abr,2019/Mai,2019/Jun,2019/Jul,2019/Ago,2019/Set,2019/Out,2019/Nov,2019/Dez,2020/Jan,2020/Fev,2020/Mar,2020/Abr,2020/Mai,2020/Jun,2020/Jul,2020/Ago,2020/Set,2020/Out,2020/Nov,2020/Dez,2021/Jan,2021/Fev,2021/Mar,2021/Abr,2021/Mai,2021/Jun,2021/Jul,2021/Ago,2021/Set,2021/Out,2021/Nov,2021/Dez,2022/Jan,2022/Fev,2022/Mar,2022/Abr,2022/Mai,2022/Jun,2022/Jul,2022/Ago,2022/Set,2022/Out,2022/Nov,2022/Dez,2023/Jan,2023/Fev,2023/Mar,2023/Abr,2023/Mai,2023/Jun,2023/Jul,2023/Ago,2023/Set,2023/Out,2023/Nov,2023/Dez,2024/Jan,2024/Fev,2024/Mar,2024/Abr,2024/Mai,2024/Jun,Total
Rio Grande do Norte,134605.36,272088.08,684678.3,1695824.89,4730811.68,11763899.23,9110108.87,10126626.54,10964234.85,11032871.23,10450599.08,11119053.52,10812840.19,11258681.53,10572190.95,10164720.86,10753451.61,10417638.31,10721328.37,12298227.11,11640067.28,12397524.2,12629319.37,13174277.04,12744328.16,13440066.99,13526034.42,13153398.69,12493128.23,12729297.56,11551990.57,15162136.63,13649319.45,14242023.19,12551831.85,13470311.65,14156977.75,13940868.0,13272057.48,13473107.56,12788929.15,12536062.22,13775683.96,15002543.01,13984615.76,15356213.36,14674974.35,14911686.35,15091857.51,14663466.45,14558218.98,14198700.51,12533586.82,13949180.34,13731504.7,15962249.68,14103000.27,15274938.97,14532597.17,16234309.86,15610018.6,12229527.01,14799892.01,14132316.71,12878494.94,14757798.33,13559506.12,15838411.28,17440024.33,16749166.81,15541512.94,16883489.54,16138547.88,16141234.37,16161575.67,14419514.6,14117580.31,14495972.22,15446589.32,15633163.65,16870824.64,18069279.41,16234491.93,17895994.39,16240425.94,16325617.03,17078314.28,16553639.98,15860056.93,15834842.78,14775174.9,18639547.97,17463935.46,18459351.45,17784444.68,19203746.35,18494772.94,18225975.9,18262817.06,16917374.24,16715171.62,17064397.41,16627822.82,18525680.92,18430835.46,19989931.07,18196569.43,17616060.68,16553293.83,13672287.29,19082523.58,16785522.38,17241589.89,17959290.06,16194997.99,19366269.16,18293343.48,20227425.64,18861445.44,18766514.59,20028976.78,18531262.6,18122577.13,18169461.87,18118258.43,19045469.42,18254034.58,20972187.31,20717428.9,21991859.64,20909808.17,21544864.14,22666875.35,19926336.21,22290820.67,20445273.59,19382682.35,21176571.73,20770925.83,21775213.78,22206576.63,23819430.58,21613567.61,22137456.57,23073542.4,23438983.02,23086206.33,20354752.02,20140235.98,22205064.78,20518138.12,20939897.73,17832372.41,20430287.05,23060407.9,28614875.56,25825277.04,25136847.15,25351589.19,24477832.99,29096543.83,27456730.91,28424264.0,37159266.52,38469161.11,42367409.69,36468622.9,28725523.88,26620560.1,24717293.86,26259759.11,25267716.23,24901668.19,25877635.16,25001743.08,28634900.09,26555095.37,29528060.04,27038812.72,27285395.86,30294434.97,28655284.51,26734927.25,24731079.52,22147589.44,25515685.92,24272353.34,29187899.0,26487839.83,30769909.54,29295723.87,29615751.2,31980532.82,29011621.93,27563700.89,29938094.14,29627053.61,29822675.77,28067199.91,30877615.8,29437407.1,26353416.08,12848792.62,3802936007.18
Paraíba,97352.78,368130.43,1002088.64,2149873.4,5448177.36,16599004.84,10871589.62,12348758.14,12680965.13,13258411.71,12246686.33,13090842.6,12673774.35,12790639.17,12727661.14,12458082.28,12454203.96,13467088.1,12521484.65,16454493.51,15589844.09,16507080.17,14978207.45,16332259.23,16037490.47,15829092.73,17073372.25,15718381.26,14643961.7,15253557.69,14018702.86,16622075.93,16205607.99,17030393.64,15164612.87,16557349.62,16381386.97,15595163.02,15694123.4,15584657.56,14675341.73,14904674.54,15590841.64,16414896.76,15021955.87,15643875.48,14732756.29,14671783.1,15637264.11,15357483.01,14985747.96,14989777.07,14068499.89,14501136.33,13785885.74,15448692.92,14872014.3,16622176.07,14902687.51,16058493.4,16219030.77,15374794.25,15167361.07,15129019.84,14007534.73,15554180.01,14712501.85,16418244.41,17311199.77,17479563.89,15895477.08,17264598.47,16789359.35,16477933.3,16560385.14,15699585.32,15199279.48,16369238.36,15383648.93,16333987.44,16796025.57,17357243.08,16142066.65,17118592.15,16517254.0,16787470.59,16734999.73,16036226.51,14780287.8,15398908.01,13525690.18,16951131.59,16461415.63,16914062.06,15818047.96,17081327.83,17065636.08,16731591.7,16508433.64,15909632.89,14394254.06,15121711.53,14570163.45,16693664.87,16535102.66,17692117.48,15780382.27,16024548.41,16828350.47,16106168.52,15429911.33,15071576.09,14408708.77,15311153.84,14348726.45,18647794.67,16710328.48,18774680.27,17436389.33,17995202.52,19351701.53,18646289.97,18245810.01,17985557.31,16388322.31,17867994.89,16830284.57,18659840.18,18830153.6,19536787.89,18668772.93,19046877.99,19889056.91,18241046.36,18933043.43,18351401.88,17457775.07,18423397.03,18238305.93,19058396.66,19990029.87,20599108.73,18616883.33,20454302.42,19863848.57,19261402.57,20237438.6,18802035.57,17371229.69,18515704.22,17316581.43,17656796.47,15598593.72,19622514.77,22669112.14,22092553.67,19346119.89,17713533.43,17435124.27,17875939.21,20704186.3,21745605.46,23362132.39,32204728.72,30949628.74,39938584.26,33793213.74,27730261.49,25195569.84,24176565.22,25000304.3,23285867.4,22239232.85,25357115.95,24623501.68,23988036.95,22011210.01,25692146.79,22791561.63,21905304.02,23735757.95,22855995.79,23876180.43,23723620.83,22849635.69,23624075.14,21788787.55,26455405.71,25615862.76,27769611.88,26917339.83,29746476.48,30862016.68,30478816.64,33015550.52,33518859.8,31273357.22,33211258.17,36338002.6,42187339.94,44760696.72,36635624.85,22086196.78,3735010631.6
Pernambuco,400640.85,1088340.42,2973553.48,6699828.82,16919031.39,51279301.86,26222079.1,30716361.81,30589332.79,31424612.72,28947510.92,30985515.77,31705296.79,30703879.2,31165074.59,30889234.12,29759443.94,58860678.33,30040652.29,37060148.86,34835203.66,36112436.7,34552284.59,35306279.11,37159616.41,35870149.7,36738307.53,34220138.11,32946658.4,80198138.99,32174258.18,39706054.71,37944000.34,45008319.0,36269244.62,35930634.79,40115997.38,38197831.72,39425712.74,37843169.54,38139102.6,41176053.61,38059566.95,42147954.09,41326640.46,43514730.75,40563191.68,43391782.15,45733529.87,40912831.26,42857388.2,42501370.91,40128856.85,42706023.83,39879763.09,45788004.65,43584966.63,47977373.68,43138836.28,46771999.46,49237763.12,44628398.27,47334863.53,44686685.41,43153098.13,50687711.54,43691252.74,50737485.08,52226805.74,55804451.21,52361826.32,54418891.31,57414861.05,57179434.48,57834043.27,54208889.93,52431062.39,56416607.07,53767659.08,56952392.67,56492714.44,60739518.81,56866816.85,60971102.71,61868649.19,63477384.97,61101285.28,57319089.25,55985442.52,58472165.84,54027325.56,63945784.64,61041726.15,65442335.41,60373049.71,62162159.01,60805971.29,57258128.24,59955610.88,56503708.05,54457020.28,57807856.25,55583876.71,62032178.13,59119814.14,61972400.3,61422837.21,60625835.1,65008761.49,59763839.07,60526001.7,59514561.74,59479372.89,61761232.9,56383575.84,66847752.21,63614062.64,70078277.39,65931228.02,66686332.96,71431538.77,64212465.81,69394366.84,63161387.39,61493033.36,66784271.34,59286551.5,66010094.38,67848816.1,71209733.04,66926561.13,67763582.78,71992572.97,63777300.61,69232654.1,64612786.62,62068147.67,67615269.4,62461656.17,65066498.96,66103159.27,72969395.98,66638223.8,71328847.06,71735983.26,70960176.87,71495177.78,68501032.97,64863296.06,69640191.25,62570634.25,59730761.62,54355576.52,66617058.74,71220751.98,73812124.72,76279679.06,74253400.52,72689140.69,72713282.69,79544918.03,83167702.1,81916340.52,105907443.59,118438342.12,133150982.12,121607649.07,96036623.68,86715307.01,83639490.7,84230294.43,84070472.05,85194966.23,96269991.81,80448807.3,78607515.78,74048193.69,81951211.61,76360351.56,79248064.68,83778485.22,76312548.51,80070065.91,75975931.85,74996610.51,77991642.3,70623680.5,82763994.29,76849758.27,85634084.86,83222706.41,84299776.84,92350616.5,85003711.44,88194077.78,86774277.81,80096762.66,87154661.78,81983296.27,88256016.78,92833652.07,88546267.22,47996539.69,12011251214.44
Alagoas,104243.75,174024.9,595544.54,1125396.73,2564966.65,16767595.99,8112220.3,9210505.56,10466691.94,9844096.03,10359879.02,9385440.4,9262767.68,9228201.96,9464597.85,9578540.01,9361247.91,10121881.47,8994586.4,12040996.68,11651218.51,11471079.17,10955769.81,11345518.14,11715157.35,11732050.72,12050093.88,11895951.83,11016104.25,11200586.26,10243568.76,13197956.95,12543380.7,13186678.0,11564476.61,11698448.97,12689693.74,12333599.13,12248867.23,12103492.69,10972429.23,11056588.96,11826444.96,13178546.52,12260249.74,13929545.92,13077770.57,12384682.24,13505516.97,12250970.37,12510919.09,11794795.34,11053272.2,12151182.51,11536047.61,13019839.94,11788484.17,13059475.04,12106325.02,12853130.25,12691505.6,12142641.64,12860470.41,12235107.81,11677594.3,12748616.09,11538711.5,13929831.86,14402311.14,14843128.3,14700061.89,15446777.61,14224278.78,14662410.51,15036685.57,13674581.11,12076711.03,19993834.87,12326390.97,13645520.42,13400953.47,14397326.03,13721274.31,14843506.14,14481399.0,15446004.19,15365196.67,14445440.07,13376886.78,13274867.57,12199758.61,16548372.34,14874492.31,15273214.63,14996967.34,15291175.7,14638349.62,14206904.05,14856147.85,14297047.54,13726685.97,13722666.12,13006011.79,15636976.37,14666913.83,15728442.55,15088153.62,15729568.42,16325627.2,14222780.25,14796600.93,13923196.77,13025633.74,14996124.94,13333879.77,16232587.23,15260073.74,16734816.88,15508169.95,16475134.53,16993183.55,16039891.1,16428152.87,16460836.29,15069229.61,16478834.66,14108283.71,17291774.71,18077005.49,18191826.64,16601616.44,18017803.2,18221249.82,16273547.19,18387186.62,16363623.68,14723252.84,18082432.87,16437146.09,16383367.36,16967319.09,18401780.88,16679573.91,18128028.71,17668105.59,17495759.86,18415449.46,16437847.47,15994415.78,17373002.95,15316689.61,16118262.71,14779206.17,17254073.33,18404994.61,18521410.72,16789853.66,17280103.27,18254050.19,19172474.25,18566269.71,20166546.25,21821827.71,31011996.73,29611820.55,31154814.38,29063889.69,24334411.52,19082058.81,17960909.79,17413301.46,17285985.83,15940421.63,16129374.82,15986817.79,17788386.89,16499027.73,18436277.22,17281842.58,17749372.67,18609701.65,18248709.68,18661791.99,17708773.07,17507998.29,17025381.06,14867153.73,18907319.52,17722875.35,20007922.84,19652283.2,20181337.56,21095010.12,20705399.8,22360428.44,20728923.95,19282678.04,19888944.44,18704151.6,20044125.39,19761737.42,16535041.95,8153371.61,3022598828.02
Sergipe,27453.63,78565.19,122952.94,775705.52,2765495.63,5439985.99,4636850.76,5017838.07,5265951.03,5367094.94,4981036.36,4928822.87,4543252.5,4525676.82,4566052.38,4716241.96,4272627.88,5037054.4,4983217.59,6504862.57,5772732.46,6111674.22,5789895.43,6122676.14,6105674.9,6019912.61,5852499.57,5722988.22,5201100.49,6261031.57,5754032.25,7057311.82,6758264.65,7452360.44,5958403.64,6660243.3,7061516.92,6924628.71,6663604.22,6691150.75,6414642.3,6968224.01,6118138.09,6691472.7,6940307.06,7303909.16,6571158.61,6758626.62,7010745.78,6236863.39,6642982.53,6490917.25,6774334.41,7212872.09,6689285.5,7241289.82,6759208.52,7672774.96,7033729.91,6670113.21,6981434.92,6716706.0,7302294.37,6495979.81,6351967.46,7207953.06,6313899.86,7354369.34,7574311.16,7218462.89,7087563.73,6987961.76,7242863.23,7102433.26,7518507.56,6724924.91,6559904.26,7468888.42,6637162.8,7020003.05,7177930.28,7457106.46,6733743.2,6671295.58,6989490.0,8112680.4,7590057.9,7590459.19,6596047.21,7843092.34,7196944.68,8405314.98,8521463.9,8862222.82,7653250.31,8606222.14,8804258.42,8925787.57,8627422.05,8374171.44,6775642.7,7557370.33,8189897.18,9250036.66,8759100.78,8945155.8,9094975.37,9022040.57,7484338.2,9187980.01,8389736.81,7510959.82,7362904.21,8276586.07,7851142.77,8566628.4,8505926.22,9086764.55,8668664.29,9021660.6,8965880.62,8464509.21,8679325.84,7578998.17,7350893.95,9313556.4,7817772.09,9831536.21,8649405.83,9127323.57,9141588.81,9026038.83,9572164.12,9027721.47,10158387.18,8939051.71,8885595.93,10116871.76,9465338.97,9455876.39,10229651.99,11156849.6,9818775.39,10144599.12,10075280.52,9641013.11,10026723.15,9282433.76,9270303.21,9645991.93,9258820.24,9296195.43,8728462.32,9448548.58,10461830.04,11734687.76,12434101.29,11587830.36,12642933.92,12047763.72,11952863.64,12767264.1,11796334.75,18788725.76,19185713.22,20362626.06,16893768.88,13399912.45,12149849.56,11687403.37,11043744.62,11213837.99,11675082.33,12514381.83,11965020.26,13723690.82,12447938.02,14389748.7,12635689.5,14009066.18,14230736.52,12971834.75,13672789.89,13308706.6,13801427.22,14369386.22,13145637.59,15105725.57,14531900.59,15436381.95,14532615.04,15744986.6,15811237.27,15700866.75,15746392.66,15808423.43,15807434.96,17140058.39,14411192.67,15336115.45,12049597.89,6925527.91,2734076.22,1784250046.9
Bahia,135146.36,448349.75,1382038.11,3348779.62,11948984.56,77141088.63,33410124.06,41400851.46,42826993.62,42170109.18,39910042.4,57664560.93,43254543.33,42851268.02,43332573.68,40946908.97,41424654.95,43856594.59,41094717.03,51476930.68,49627329.12,50686984.15,48851108.39,51075073.25,53386058.82,50894817.5,50114090.45,48792856.88,47427830.7,48612761.25,44513251.78,54612375.13,51537423.45,55436692.73,47478799.39,51149585.31,53626809.52,51013229.85,51499348.41,51206307.37,49579249.89,53682160.16,50760343.85,54919845.32,54324039.31,56094527.67,52211711.68,55144668.28,63185023.98,55095561.14,56919929.05,53594727.48,52884589.16,56236870.8,51303198.23,60630064.83,56054194.58,60521448.27,56236173.44,59433810.78,59215996.5,54813906.57,55997422.52,55367508.34,55666435.88,55620448.25,49629501.64,57985297.33,60189169.87,61450345.67,57608156.48,63266197.29,62497603.95,62163833.25,64729268.56,59202730.98,57277468.21,62753096.09,58834155.47,61074497.07,63334877.61,66194573.43,58265280.47,66299078.59,65818877.3,66116426.56,67823024.71,61563043.72,58530316.47,61393665.77,55045075.39,69408038.96,63117816.99,66628463.92,64203496.81,68297757.99,68367732.63,66487059.16,66313885.35,67210351.43,59462190.64,65618888.85,62769485.03,72457530.16,67430869.51,70806318.27,67059111.05,70947716.96,73472651.35,68577787.67,68140982.51,64219526.49,61669178.59,68818671.55,60422623.96,72167700.1,65700935.01,75576888.18,67489755.47,71945113.75,74252540.75,68229010.4,71764150.87,68346916.52,64802793.52,70361039.97,60870167.48,68977621.88,70895899.4,73083665.68,68427365.23,74877735.12,74697458.17,70616508.53,76593857.76,71640961.49,67597302.07,70217730.84,66837610.7,70079059.35,73335516.66,79489903.05,70572836.97,79663207.13,77894009.75,75464478.42,79398479.84,72319532.73,68799043.63,74414835.96,67821522.06,71092248.85,60152167.47,66759442.39,79038339.98,91689164.34,86261428.56,78363262.99,83640000.52,83190197.91,87669355.74,88218581.81,96947391.35,117958992.86,116623968.37,135846781.26,125040099.19,111012233.57,97239839.96,87564376.13,89385073.22,88945529.56,90803555.04,100099337.22,86420567.87,88443316.14,81969336.73,89742115.38,82623329.09,89388081.14,93278615.48,90225414.53,91195080.36,86628986.64,86943904.16,90791434.34,82094471.36,100172833.74,90318932.09,103889396.34,95546406.82,102813159.87,105701584.06,100236102.44,103374215.51,98554035.65,95459134.18,101309815.12,91419828.81,97196666.4,84744298.49,66032184.3,34321087.03,13607659838.27
Minas Gerais,971394.37,2861781.5,10018011.35,21730281.63,43429517.54,206939042.57,70301089.5,79119005.51,79046322.41,79268070.12,79632111.54,82225138.22,80374117.08,82442262.9,88613476.6,84486996.11,88928630.3,99018155.84,83675119.83,100278446.17,91831325.37,97289703.07,95723396.53,100050008.7,98996918.26,98202119.08,96962394.27,94767639.13,92412770.73,95806556.42,90764890.28,107389850.03,100835953.45,105527641.54,99666115.96,103377831.8,107844259.69,104341138.19,100525403.88,101943625.5,99538953.6,107935131.23,103238395.69,111174523.99,106094329.28,115487199.35,110062460.88,110096959.71,114967082.94,109760526.2,111445298.68,107455123.44,107734782.13,119857069.1,107156833.59,122198209.84,112569278.74,125694495.86,115806809.16,122012643.58,123959506.75,114792200.87,122099210.56,112211647.27,110269165.4,120467849.58,107991241.92,126202162.87,131252895.3,128908897.64,126810882.19,132116004.92,130280549.46,128841100.31,134306684.03,123888837.02,124208668.26,134156154.8,127951654.33,135778893.56,138428778.7,144303552.86,134143143.46,142596691.51,138912074.47,139272170.08,143729182.1,136080717.06,131283422.27,131695638.74,126197577.4,150875041.27,142633350.94,146104517.61,142895530.96,137939925.52,140776921.48,137733786.02,140162221.98,134404734.61,129680657.22,131130880.47,127463409.6,144119735.06,136015892.7,143277288.32,140820911.06,137073316.55,143809880.57,136233922.15,138432800.02,129528892.52,132628617.72,139071414.5,129354377.76,150585977.24,136757173.18,153463006.44,144344273.89,147563494.93,156070932.24,142324847.21,148432235.58,142323944.76,138395972.91,146543691.81,130779645.79,151537049.95,150779113.51,153607663.82,150295632.73,156895076.38,160709352.8,146362575.42,157306548.99,148172783.99,145488563.01,153419499.42,142795922.75,152030823.22,157959772.67,163737927.52,154279221.17,166851094.64,162127248.17,157504770.56,166274962.04,152214192.38,152537387.26,158317086.31,141496451.65,148019729.62,127571935.61,142761094.95,157396509.45,177875470.19,182205967.53,181844143.24,176229091.67,174180999.21,183624435.82,195005496.32,185883896.71,265448217.0,259746908.5,282464137.16,269243375.22,246457588.1,217187836.37,191052849.91,181909284.69,177061938.83,176681499.45,205717759.14,182751238.39,193113702.67,181801045.54,197748667.64,185089401.53,191960713.6,201438355.2,195004466.79,198420466.97,194595597.13,190718521.42,198121839.22,181734087.5,216731654.3,199465934.54,223048586.45,209462449.6,215385560.12,223490436.77,215469980.31,225270555.83,216383028.31,209148368.56,222300157.9,209800599.55,228100016.47,216082730.78,178930809.27,89499683.35,28740666607.88
Espírito Santo,57408.11,284224.8,1152115.25,2296383.23,5724199.54,16212109.41,10032886.43,12262049.08,12453466.98,11789786.09,11889687.35,12205584.14,12384068.19,12486952.61,12846257.93,12885677.54,12531576.01,13448667.55,11902752.05,14490295.47,14203837.61,15160988.21,14348102.03,15198601.34,15633491.3,14884339.35,14470016.36,14561150.72,13832954.49,14019840.33,13041820.98,16875676.05,15184135.29,15913263.87,15189197.44,15929495.86,17000988.44,16055300.15,16763684.01,16487379.66,15459495.21,16030031.21,15811419.6,17702137.74,16397384.2,17707422.11,17618976.32,17455886.16,19188610.12,16778443.83,17491493.7,17527151.96,16297807.56,17148053.04,16786617.91,18660232.19,17052617.59,18723134.38,18137860.29,19880778.72,19375502.24,19258247.92,19200340.35,17956886.69,18264308.06,19123320.52,17941358.17,19869295.44,19890295.23,19979773.02,19406981.92,20365841.76,20876552.66,19758345.74,21145926.8,19684239.72,18868882.32,19447016.21,19411985.68,20977963.39,20372658.3,22330461.67,21090092.17,21982169.59,22804987.55,21863103.85,22522368.57,21389486.83,20805510.82,21106263.86,20051267.68,24110409.95,21302634.65,22841140.15,22570531.17,25126290.22,23284860.41,22397181.09,23697420.39,22834101.87,22484167.74,23555315.86,22336137.3,26420496.56,24355707.5,26580947.54,24891774.42,26244885.05,26136014.92,23782872.02,24716633.41,24409271.46,25304919.68,24961550.27,22510666.96,27035407.52,24900816.95,26707993.4,25313642.38,26021925.5,26797874.7,25336305.29,26875836.29,25257656.9,24276121.39,25480248.19,22686672.67,25266729.61,25975106.39,27444564.56,24444622.13,25716796.37,25498522.61,24338227.14,26158845.99,24671664.41,24683685.86,25201039.31,24710171.75,26740727.97,25981990.55,28690916.87,25936888.97,28550512.79,29318090.3,27519132.91,29788885.15,26294165.36,25242500.52,27606069.36,26621449.02,26657691.16,23966825.48,29290841.45,31992445.98,41411858.59,35319717.61,31993974.77,32980761.78,36421442.42,42374924.78,40695142.35,40032763.33,59344964.49,58289093.33,58537795.44,50150950.14,44731923.37,39200917.4,39085981.55,39645195.76,35252184.64,37232756.42,40159258.51,33352239.41,34579777.72,31944146.4,36010214.42,35480215.52,36335019.11,37438669.34,36099352.22,38697986.21,35769685.2,36434497.72,37394429.31,34924720.98,41988907.51,38776860.69,43197862.08,40765459.03,41241988.65,43033664.91,40863960.35,43226984.18,40344009.0,39286527.6,41023891.99,38198056.48,41576107.27,39377515.16,32846644.75,16630059.64,4996635723.87
Rio de Janeiro,469469.34,921646.57,2994664.57,7250528.08,13627123.27,253437962.44,44128159.73,42933765.97,45324789.6,43951349.46,44143987.63,44360299.24,42502172.22,43066461.47,44553314.55,41351511.51,43045899.95,60886702.38,40686668.3,52753544.47,48919409.33,51196192.89,57242242.35,53485657.68,51265569.5,48510624.73,48692051.51,49744952.62,44413423.34,55993709.91,44834836.15,54474729.37,78146923.05,56065008.15,51435826.33,53873907.49,57867285.17,53736019.37,52379338.55,50342295.13,50891328.43,74005618.29,61222285.53,55404927.49,55818150.43,59108882.26,55205971.21,54578233.98,58008618.23,53265238.37,53054153.58,49836289.6,47982923.26,67031781.46,47271040.5,59494781.24,54153890.46,60811215.6,56045464.62,56679683.32,58665520.32,53363839.7,58053475.83,51868153.95,47984205.73,103071965.76,51367465.64,57943253.96,63988376.25,64119208.87,61948905.71,61059659.25,61686544.68,59877091.17,61036369.73,54100256.14,53394603.38,67149544.91,56693723.82,61253321.66,58752253.35,62174336.49,64001759.49,66150757.15,64974113.77,65364457.7,64164229.92,60439022.21,62375748.57,65551697.58,58065209.53,68055347.32,62444467.4,71484269.59,69753977.1,74134423.51,68789906.49,66754516.26,68390452.53,63663999.78,60131590.29,66821973.27,60208225.12,69429872.91,62968029.87,65588361.78,64809173.17,89049718.1,70934225.95,63684785.34,64425769.42,59706585.95,63253594.21,68228563.34,62295919.85,70467256.76,64606782.8,74983618.36,70184669.11,73403424.65,75381337.23,69080639.88,73323106.81,69595664.3,67649337.74,72836560.1,65115375.0,74481476.62,74750433.81,79934850.15,76015046.17,77762852.93,79273567.9,72974843.67,79357923.81,74364091.21,70938615.9,80484328.35,75314143.21,75310263.92,77292491.46,83094838.64,79447390.37,88484223.98,84238606.88,82252062.53,83376886.91,75352573.29,75706194.22,81545072.73,73711559.08,75237578.49,69787642.4,89997894.26,88532011.4,97255913.44,90622478.2,82848536.71,82431421.23,84328409.84,97324405.49,105272821.08,88091863.29,126352771.95,136152398.34,148310634.07,131800118.84,134980740.13,142603034.26,120616811.08,101709404.31,94812422.13,93592830.93,115132472.77,98358376.2,106996903.15,100010326.26,110423223.59,102636709.43,109526589.0,115248067.34,107401875.25,107941324.01,104548979.74,101692630.81,111237493.33,98128803.04,120900687.98,113977663.42,125011141.8,120579345.23,125499618.22,127048928.04,124287107.15,132952839.2,125403561.99,119919274.06,125351624.45,112879820.43,123235922.6,113767297.88,96747362.37,45599827.6,14957887913.6
São Paulo,1665349.9,4434168.64,14577395.84,35032259.98,76668547.41,1106520485.27,173597042.74,170903108.82,170623851.29,172764762.94,175887493.92,179821352.27,180567746.84,180503167.36,192745719.34,192805871.58,177095026.47,192914878.58,178855021.22,217257664.2,215433044.28,212918633.38,212883083.85,214284805.83,215529378.58,214807506.19,216399532.71,210241966.93,192287383.8,213742205.61,195787926.41,239828495.05,221370557.99,232457582.67,224618842.83,224593323.12,252269489.93,224502065.21,241302075.89,226213128.62,211176595.63,229398392.94,221970618.37,241621075.58,230381285.69,250920959.78,237383438.83,240689574.3,248597386.97,233858096.55,232785993.37,223907998.41,208765088.31,237246212.45,219772524.01,246316215.5,231364189.92,251997353.46,235029889.63,244839492.35,252643435.3,239246705.95,282296565.77,226201416.7,216381562.54,254042304.46,222924847.43,255381617.07,262994246.5,263230223.26,254578670.75,263477356.2,266194891.22,262208251.32,289083564.86,248692219.16,230764169.33,271111017.56,250626652.39,264539634.0,259109507.73,280185348.44,263934625.3,278613889.17,280022694.03,285801713.43,277684854.79,256662166.15,242270966.54,266476677.27,238871973.92,285873051.25,265648003.22,277501956.07,273331820.69,276252056.76,280024285.11,266326834.14,266299584.62,255126568.9,244545277.51,261567915.15,250282103.81,282206836.56,267954847.81,277664530.53,278604371.51,271670120.81,279497623.75,266331301.02,266493929.55,257717188.73,248342752.42,272192892.72,248013041.85,289675383.95,264145360.12,292544318.89,274948790.16,283883868.5,301844214.99,267595094.79,288577253.17,267802068.95,260495238.11,280235622.77,254826024.78,285530003.12,287086684.68,292263373.76,279794184.47,286968472.23,296731380.04,277988309.26,304986600.6,278596064.93,268786932.51,295442143.2,269288220.67,292548302.26,293703603.86,309636470.8,282165429.63,308606680.05,306912203.85,295279643.0,305061662.15,283746975.7,275527987.14,308043065.69,273376691.4,279042950.45,256058472.03,314954803.14,329031866.84,363357527.23,352185907.9,340665679.46,330548660.85,329518543.18,340099341.26,364553667.69,355717887.3,509408812.58,512413675.66,558143702.08,521468653.52,448909254.42,393759184.71,349780612.56,335054220.88,321592017.14,321366729.05,362211341.76,311970511.8,342400131.36,320776419.91,351349644.08,333376151.04,348408792.56,367283442.65,355426878.83,359563661.23,345979144.14,335378465.34,363461418.06,326235381.85,380944700.78,354745269.19,387007096.7,370322436.18,379225632.47,398814119.32,365534785.03,385374458.64,372199641.41,363664832.51,397238888.73,380600275.32,405238898.93,405415546.71,357246934.02,201122009.15,56551125709.88
